,PA01H:CO,AUB:CO,PA04C:CO,A1:CO,BASCH:CO,AUT:CO,OBJECTID
,PARIS 1er Les Halles,AUBERVILLIERS,Paris Centre,Autoroute A1 - Saint-Denis,Place Victor Basch,Boulevard Péripherique Auteuil,0
,PA01H,AUB,PA04C,A1,BASCH,AUT,1
,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,2
,CO,CO,CO,CO,CO,CO,3
,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,4
2019/02/17 00:00:00+00,,1.044000,0.667000,1.214000,,1.032000,1132
2019/02/17 01:00:00+00,,1.235000,0.637000,0.827000,,0.707000,1133
2019/02/17 02:00:00+00,,1.157000,0.631000,0.899000,,0.678000,1134
2019/02/17 03:00:00+00,,0.964000,0.620000,1.044000,,0.612000,1135
2019/02/17 04:00:00+00,,0.684000,0.532000,1.016000,,0.492000,1136
2019/02/17 05:00:00+00,,0.673000,0.464000,0.926000,,0.433000,1137
2019/02/17 06:00:00+00,,0.505000,0.430000,0.815000,,0.486000,1138
2019/02/17 07:00:00+00,,0.374000,0.433000,0.604000,,0.437000,1139
2019/02/17 08:00:00+00,,0.379000,0.484000,0.427000,,0.454000,1140
2019/02/17 09:00:00+00,,0.339000,0.476000,0.502000,,0.504000,1141
2019/02/17 10:00:00+00,,0.367000,0.515000,0.493000,,0.466000,1142
2019/02/17 11:00:00+00,,0.392000,0.462000,0.434000,,0.333000,1143
2019/02/17 12:00:00+00,,0.302000,0.388000,0.380000,,0.368000,1144
2019/02/17 13:00:00+00,,0.227000,0.282000,0.312000,,0.353000,1145
2019/02/17 14:00:00+00,,0.218000,0.274000,0.319000,,0.380000,1146
2019/02/17 15:00:00+00,,0.231000,0.263000,0.331000,,0.382000,1147
2019/02/17 16:00:00+00,,0.228000,0.310000,0.371000,,0.414000,1148
2019/02/17 17:00:00+00,,0.299000,0.398000,0.414000,,0.536000,1149
2019/02/17 18:00:00+00,,0.438000,0.543000,0.596000,,0.854000,1150
2019/02/17 19:00:00+00,,0.815000,0.641000,0.760000,,0.965000,1151
2019/02/17 20:00:00+00,,0.808000,0.714000,1.235000,,1.252000,1152
2019/02/17 21:00:00+00,,0.960000,0.906000,1.457000,,1.368000,1153
2019/02/17 22:00:00+00,,0.560000,0.995000,1.786000,,1.173000,1154
2019/02/17 23:00:00+00,,0.595000,1.064000,1.384000,,1.352000,1155
2019/02/18 00:00:00+00,,0.641000,0.876000,1.647000,,1.195000,1156
2019/02/18 01:00:00+00,,0.556000,0.724000,1.505000,,1.027000,1157
2019/02/18 02:00:00+00,,0.475000,0.685000,0.985000,,0.691000,1158
2019/02/18 03:00:00+00,,0.456000,0.638000,0.598000,,0.627000,1159
2019/02/18 04:00:00+00,,0.417000,0.612000,0.664000,,0.685000,1160
2019/02/18 05:00:00+00,,0.634000,0.592000,0.826000,,0.724000,1161
2019/02/18 06:00:00+00,,0.796000,0.720000,0.955000,,1.030000,1162
2019/02/18 07:00:00+00,,0.661000,0.759000,1.209000,,0.876000,1163
2019/02/18 08:00:00+00,,0.614000,0.905000,1.646000,,0.785000,1164
2019/02/18 09:00:00+00,,0.697000,0.936000,1.423000,,1.018000,1165
2019/02/18 10:00:00+00,,0.677000,0.819000,1.080000,,0.632000,1166
2019/02/18 11:00:00+00,,0.590000,0.573000,0.934000,,0.457000,1167
2019/02/18 12:00:00+00,,0.319000,,0.517000,,0.504000,1168
2019/02/18 13:00:00+00,,0.237000,,0.434000,,0.431000,1169
2019/02/18 14:00:00+00,,,,0.367000,,0.472000,1170
2019/02/18 15:00:00+00,,,,0.413000,,0.421000,1171
2019/02/18 16:00:00+00,,,,0.345000,,0.491000,1172
2019/02/18 17:00:00+00,,,,,,0.805000,1173
2019/02/18 18:00:00+00,,,,1.101000,,1.195000,1174
2019/02/18 19:00:00+00,,,,0.924000,,0.994000,1175
2019/02/18 20:00:00+00,,,,0.690000,,0.656000,1176
2019/02/18 21:00:00+00,,,,0.682000,,0.608000,1177
2019/02/18 22:00:00+00,,,,0.623000,,0.495000,1178
2019/02/18 23:00:00+00,,,,0.563000,,0.387000,1179
2019/02/19 00:00:00+00,,,,0.335000,,0.304000,1180
2019/02/19 01:00:00+00,,,,0.332000,,0.326000,1181
2019/02/19 02:00:00+00,,0.300000,,0.399000,,0.285000,1182
2019/02/19 03:00:00+00,,0.299000,,0.379000,,0.244000,1183
2019/02/19 04:00:00+00,,0.237000,,0.441000,,0.267000,1184
2019/02/19 05:00:00+00,,0.221000,,0.387000,,0.319000,1185
2019/02/19 06:00:00+00,,0.258000,,0.562000,,0.456000,1186
2019/02/19 07:00:00+00,,0.252000,,0.595000,,0.603000,1187
2019/02/19 08:00:00+00,,0.240000,,0.724000,,1.051000,1188
2019/02/19 09:00:00+00,,0.269000,,0.617000,,0.953000,1189
2019/02/19 10:00:00+00,,0.284000,,0.648000,,0.608000,1190
2019/02/19 11:00:00+00,,0.273000,,0.513000,,0.564000,1191
2019/02/19 12:00:00+00,,0.323000,0.343000,0.629000,,0.561000,1192
2019/02/19 13:00:00+00,,0.315000,0.330000,0.604000,,0.382000,1193
2019/02/19 14:00:00+00,,0.284000,0.331000,0.486000,,0.427000,1194
2019/02/19 15:00:00+00,,0.274000,0.308000,0.475000,,0.429000,1195
2019/02/19 16:00:00+00,,0.263000,0.299000,0.555000,,0.519000,1196
2019/02/19 17:00:00+00,,0.291000,0.358000,0.658000,,0.801000,1197
2019/02/19 18:00:00+00,,0.333000,0.431000,0.862000,,1.158000,1198
2019/02/19 19:00:00+00,,0.384000,0.497000,1.097000,,1.177000,1199
2019/02/19 20:00:00+00,,0.418000,0.599000,0.727000,,1.084000,1200
2019/02/19 21:00:00+00,,0.489000,0.621000,0.817000,,0.845000,1201
2019/02/19 22:00:00+00,,0.493000,0.573000,0.567000,,0.787000,1202
2019/02/19 23:00:00+00,,0.725000,0.617000,0.623000,,0.870000,1203
2019/02/20 00:00:00+00,,1.250000,0.557000,0.690000,,0.852000,1204
2019/02/20 01:00:00+00,,1.065000,0.537000,0.896000,,0.487000,1205
2019/02/20 02:00:00+00,,1.311000,0.471000,0.969000,,0.387000,1206
2019/02/20 03:00:00+00,,1.123000,0.473000,0.873000,,0.332000,1207
2019/02/20 04:00:00+00,,1.048000,0.752000,0.709000,,0.328000,1208
2019/02/20 05:00:00+00,,1.123000,0.938000,0.893000,,0.486000,1209
2019/02/20 06:00:00+00,,1.246000,0.895000,1.324000,,0.717000,1210
2019/02/20 07:00:00+00,,1.764000,1.050000,1.412000,,0.762000,1211
2019/02/20 08:00:00+00,,1.959000,1.197000,1.657000,,1.085000,1212
2019/02/20 09:00:00+00,,1.648000,1.251000,1.414000,,1.435000,1213
2019/02/20 10:00:00+00,,1.718000,1.203000,1.443000,,1.328000,1214
2019/02/20 11:00:00+00,,1.074000,1.050000,1.808000,,0.805000,1215
2019/02/20 12:00:00+00,,0.688000,0.667000,1.098000,,0.528000,1216
2019/02/20 13:00:00+00,,0.433000,0.450000,0.609000,,0.497000,1217
2019/02/20 14:00:00+00,,0.247000,0.329000,0.619000,,0.525000,1218
2019/02/20 15:00:00+00,,0.224000,0.288000,0.612000,,0.430000,1219
2019/02/20 16:00:00+00,,0.219000,0.330000,0.535000,,0.550000,1220
2019/02/20 17:00:00+00,,0.264000,0.451000,0.729000,,0.841000,1221
2019/02/20 18:00:00+00,,0.404000,0.582000,0.867000,,1.277000,1222
2019/02/20 19:00:00+00,,0.539000,0.687000,0.714000,,1.735000,1223
2019/02/20 20:00:00+00,,0.959000,0.755000,1.282000,,1.809000,1224
2019/02/20 21:00:00+00,,1.140000,0.868000,1.284000,,1.533000,1225
2019/02/20 22:00:00+00,,0.521000,1.028000,1.496000,,1.669000,1226
2019/02/20 23:00:00+00,,0.415000,0.827000,1.444000,,2.356000,1227
2019/02/21 00:00:00+00,,0.445000,0.728000,1.046000,,1.693000,1228
2019/02/21 01:00:00+00,,0.637000,0.515000,0.968000,,1.282000,1229
2019/02/21 02:00:00+00,,0.693000,0.482000,0.894000,,1.133000,1230
2019/02/21 03:00:00+00,,0.897000,0.508000,0.804000,,0.914000,1231
2019/02/21 04:00:00+00,,1.021000,0.675000,0.759000,,0.962000,1232
2019/02/21 05:00:00+00,,0.976000,0.715000,0.832000,,0.911000,1233
2019/02/21 06:00:00+00,,1.251000,0.899000,1.017000,,1.063000,1234
2019/02/21 07:00:00+00,,1.142000,1.056000,1.087000,,1.682000,1235
2019/02/21 08:00:00+00,,1.566000,1.175000,1.428000,,1.973000,1236
2019/02/21 09:00:00+00,,0.976000,1.315000,1.684000,,1.665000,1237
2019/02/21 10:00:00+00,,0.890000,1.126000,1.562000,,1.251000,1238
2019/02/21 11:00:00+00,,0.748000,0.812000,1.077000,,0.898000,1239
2019/02/21 12:00:00+00,,0.632000,0.705000,1.003000,,0.643000,1240
2019/02/21 13:00:00+00,,0.634000,0.619000,0.848000,,0.611000,1241
2019/02/21 14:00:00+00,,0.553000,0.488000,0.625000,,0.517000,1242
2019/02/21 15:00:00+00,,0.412000,0.429000,0.477000,,0.708000,1243
2019/02/21 16:00:00+00,,0.394000,0.512000,0.570000,,0.830000,1244
2019/02/21 17:00:00+00,,0.490000,0.495000,0.723000,,1.176000,1245
2019/02/21 18:00:00+00,,0.793000,0.562000,0.966000,,1.580000,1246
2019/02/21 19:00:00+00,,0.829000,0.572000,1.236000,,1.859000,1247
2019/02/21 20:00:00+00,,0.698000,0.705000,0.832000,,1.626000,1248
2019/02/21 21:00:00+00,,0.852000,0.679000,0.960000,,1.759000,1249
2019/02/21 22:00:00+00,,0.937000,0.609000,1.068000,,1.702000,1250
2019/02/21 23:00:00+00,,1.078000,0.624000,1.351000,,1.706000,1251
2019/02/22 00:00:00+00,,1.039000,0.678000,1.455000,,1.492000,1252
2019/02/22 01:00:00+00,,0.899000,0.668000,1.199000,,1.254000,1253
2019/02/22 02:00:00+00,,0.768000,0.807000,0.983000,,1.191000,1254
2019/02/22 03:00:00+00,,0.885000,1.423000,0.839000,,0.944000,1255
2019/02/22 04:00:00+00,,0.970000,1.286000,0.804000,,0.743000,1256
2019/02/22 05:00:00+00,,0.978000,1.249000,0.754000,,0.810000,1257
2019/02/22 06:00:00+00,,1.047000,1.185000,0.916000,,0.884000,1258
2019/02/22 07:00:00+00,,1.047000,1.101000,0.898000,,1.121000,1259
2019/02/22 08:00:00+00,,1.094000,1.028000,1.187000,,1.249000,1260
2019/02/22 09:00:00+00,,1.127000,0.951000,0.945000,,1.412000,1261
2019/02/22 10:00:00+00,,0.894000,0.900000,0.909000,,1.403000,1262
2019/02/22 11:00:00+00,,0.776000,1.147000,0.982000,,1.402000,1263
2019/02/22 12:00:00+00,,0.611000,0.594000,0.654000,,1.036000,1264
2019/02/22 13:00:00+00,,0.345000,0.349000,0.577000,,0.965000,1265
2019/02/22 14:00:00+00,,0.283000,0.345000,0.482000,,1.087000,1266
2019/02/22 15:00:00+00,,0.251000,0.314000,0.476000,,0.753000,1267
2019/02/22 16:00:00+00,,0.190000,0.322000,0.424000,,0.672000,1268
2019/02/22 17:00:00+00,,0.239000,0.327000,0.581000,,0.741000,1269
2019/02/22 18:00:00+00,,0.443000,0.442000,0.813000,,0.935000,1270
2019/02/22 19:00:00+00,,0.483000,0.594000,0.851000,,1.273000,1271
2019/02/22 20:00:00+00,,0.499000,0.589000,0.728000,,0.828000,1272
2019/02/22 21:00:00+00,,0.512000,0.483000,0.581000,,0.784000,1273
2019/02/22 22:00:00+00,,0.445000,0.419000,0.693000,,0.774000,1274
2019/02/22 23:00:00+00,,0.420000,0.373000,0.629000,,0.755000,1275
2019/02/23 00:00:00+00,,0.378000,0.320000,0.599000,,0.555000,1276
2019/02/23 01:00:00+00,,0.403000,0.247000,0.458000,,0.306000,1277
2019/02/23 02:00:00+00,,0.423000,0.245000,0.474000,,0.267000,1278
2019/02/23 03:00:00+00,,0.376000,0.236000,0.354000,,0.232000,1279
2019/02/23 04:00:00+00,,0.321000,0.221000,0.323000,,0.223000,1280
2019/02/23 05:00:00+00,,0.342000,0.193000,0.348000,,0.204000,1281
2019/02/23 06:00:00+00,,0.327000,0.192000,0.332000,,0.233000,1282
2019/02/23 07:00:00+00,,0.387000,0.201000,0.380000,,0.245000,1283
2019/02/23 08:00:00+00,,0.372000,0.210000,0.372000,,0.331000,1284
2019/02/23 09:00:00+00,,0.348000,0.222000,0.373000,,0.360000,1285
2019/02/23 10:00:00+00,,0.308000,0.228000,0.362000,,0.378000,1286
2019/02/23 11:00:00+00,,0.288000,0.216000,0.329000,,0.377000,1287
2019/02/23 12:00:00+00,,0.272000,0.192000,0.312000,,0.365000,1288
2019/02/23 13:00:00+00,,0.294000,0.182000,0.316000,,0.467000,1289
2019/02/23 14:00:00+00,,0.290000,0.182000,0.372000,,0.537000,1290
2019/02/23 15:00:00+00,,0.229000,0.168000,0.324000,,0.492000,1291
2019/02/23 16:00:00+00,,0.256000,0.192000,0.334000,,0.514000,1292
2019/02/23 17:00:00+00,,0.268000,0.214000,0.618000,,0.488000,1293
2019/02/23 18:00:00+00,,0.373000,0.252000,0.590000,,0.643000,1294
2019/02/23 19:00:00+00,,0.489000,0.427000,0.644000,,0.858000,1295
2019/02/23 20:00:00+00,,0.534000,0.476000,0.570000,,0.679000,1296
2019/02/23 21:00:00+00,,0.561000,0.475000,0.619000,,0.581000,1297
2019/02/23 22:00:00+00,,0.607000,0.338000,0.618000,,0.449000,1298
2019/02/23 23:00:00+00,,0.619000,0.256000,0.538000,,0.383000,1299
2019/02/24 00:00:00+00,,0.650000,0.240000,0.417000,,0.342000,1300
2019/02/24 01:00:00+00,,0.652000,0.229000,0.383000,,0.295000,1301
2019/02/24 02:00:00+00,,0.699000,0.236000,0.404000,,0.313000,1302
2019/02/24 03:00:00+00,,0.449000,0.213000,0.322000,,0.251000,1303
2019/02/24 04:00:00+00,,0.392000,0.208000,0.251000,,0.220000,1304
2019/02/24 05:00:00+00,,0.410000,0.208000,0.283000,,0.237000,1305
2019/02/24 06:00:00+00,,0.465000,0.290000,0.315000,,0.298000,1306
2019/02/24 07:00:00+00,,0.468000,0.230000,0.319000,,0.278000,1307
2019/02/24 08:00:00+00,,0.584000,0.233000,0.344000,,0.344000,1308
2019/02/24 09:00:00+00,,0.472000,0.261000,0.340000,,0.289000,1309
2019/02/24 10:00:00+00,,0.388000,0.246000,0.298000,,0.312000,1310
2019/02/24 11:00:00+00,,0.395000,0.243000,0.284000,,0.261000,1311
2019/02/24 12:00:00+00,,0.394000,0.280000,0.300000,,0.591000,1312
2019/02/24 13:00:00+00,,0.437000,0.269000,0.303000,,0.493000,1313
2019/02/24 14:00:00+00,,0.427000,0.268000,0.275000,,0.528000,1314
2019/02/24 15:00:00+00,,0.415000,0.236000,0.261000,,0.525000,1315
2019/02/24 16:00:00+00,,0.395000,0.254000,0.300000,,0.525000,1316
2019/02/24 17:00:00+00,,0.411000,0.264000,0.361000,,0.539000,1317
2019/02/24 18:00:00+00,,0.464000,0.280000,0.389000,,0.548000,1318
2019/02/24 19:00:00+00,,0.532000,0.404000,0.529000,,0.591000,1319
2019/02/24 20:00:00+00,,0.634000,0.494000,0.455000,,0.579000,1320
2019/02/24 21:00:00+00,,0.713000,0.495000,0.482000,,0.636000,1321
2019/02/24 22:00:00+00,,0.717000,0.568000,0.521000,,0.997000,1322
2019/02/24 23:00:00+00,,0.852000,0.686000,0.502000,,0.878000,1323
2019/02/25 00:00:00+00,,0.614000,0.456000,0.439000,,0.766000,1324
2019/02/25 01:00:00+00,,0.550000,0.422000,0.426000,,0.678000,1325
2019/02/25 02:00:00+00,,0.445000,0.417000,0.461000,,0.560000,1326
2019/02/25 03:00:00+00,,0.407000,0.394000,0.327000,,0.536000,1327
2019/02/25 04:00:00+00,,0.417000,0.367000,0.357000,,0.618000,1328
2019/02/25 05:00:00+00,,0.512000,0.351000,0.379000,,0.634000,1329
2019/02/25 06:00:00+00,,0.689000,0.370000,0.479000,,0.633000,1330
2019/02/25 07:00:00+00,,0.603000,0.438000,0.699000,,0.970000,1331
2019/02/25 08:00:00+00,,0.666000,0.417000,0.872000,,1.432000,1332
2019/02/25 09:00:00+00,,0.641000,0.615000,0.605000,,1.214000,1333
2019/02/25 10:00:00+00,,0.421000,0.368000,0.464000,,0.882000,1334
2019/02/25 11:00:00+00,,0.351000,0.293000,0.429000,,0.519000,1335
2019/02/25 12:00:00+00,,0.324000,0.326000,0.378000,,0.483000,1336
2019/02/25 13:00:00+00,,0.294000,0.292000,0.416000,,0.598000,1337
2019/02/25 14:00:00+00,,0.315000,0.292000,0.397000,,0.594000,1338
2019/02/25 15:00:00+00,,0.284000,0.280000,0.383000,,0.651000,1339
2019/02/25 16:00:00+00,,0.265000,0.276000,0.392000,,0.652000,1340
2019/02/25 17:00:00+00,,0.285000,0.295000,0.522000,,0.781000,1341
2019/02/25 18:00:00+00,,0.350000,0.363000,0.618000,,0.849000,1342
2019/02/25 19:00:00+00,,0.419000,0.445000,0.616000,,0.899000,1343
2019/02/25 20:00:00+00,,0.402000,0.495000,0.708000,,0.793000,1344
2019/02/25 21:00:00+00,,0.403000,0.520000,0.726000,,0.780000,1345
2019/02/25 22:00:00+00,,0.394000,0.520000,0.691000,,0.546000,1346
2019/02/25 23:00:00+00,,0.403000,0.551000,0.560000,,0.561000,1347
2019/02/26 00:00:00+00,,0.420000,0.458000,0.591000,,0.599000,1348
2019/02/26 01:00:00+00,,0.399000,0.457000,0.507000,,0.539000,1349
2019/02/26 02:00:00+00,,0.473000,0.487000,0.420000,,0.510000,1350
2019/02/26 03:00:00+00,,0.458000,0.393000,0.382000,,0.547000,1351
2019/02/26 04:00:00+00,,0.556000,0.271000,0.388000,,0.521000,1352
2019/02/26 05:00:00+00,,0.411000,0.259000,0.519000,,0.684000,1353
2019/02/26 06:00:00+00,,0.541000,0.294000,0.572000,,1.057000,1354
2019/02/26 07:00:00+00,,0.681000,0.297000,0.821000,,1.174000,1355
2019/02/26 08:00:00+00,,0.739000,0.632000,0.832000,,1.508000,1356
2019/02/26 09:00:00+00,,0.596000,0.660000,0.690000,,1.291000,1357
2019/02/26 10:00:00+00,,0.505000,0.450000,0.600000,,0.877000,1358
2019/02/26 11:00:00+00,,0.465000,0.464000,0.607000,,0.597000,1359
2019/02/26 12:00:00+00,,0.356000,0.357000,0.522000,,0.759000,1360
2019/02/26 13:00:00+00,,0.310000,0.282000,0.439000,,0.665000,1361
2019/02/26 14:00:00+00,,0.241000,0.248000,0.375000,,0.620000,1362
2019/02/26 15:00:00+00,,0.190000,0.218000,0.330000,,0.514000,1363
2019/02/26 16:00:00+00,,0.221000,0.207000,0.354000,,0.494000,1364
2019/02/26 17:00:00+00,,0.287000,0.207000,0.372000,,0.575000,1365
2019/02/26 18:00:00+00,,0.357000,0.267000,0.444000,,0.590000,1366
2019/02/26 19:00:00+00,,0.559000,0.441000,0.598000,,0.624000,1367
2019/02/26 20:00:00+00,,0.655000,0.567000,0.853000,,1.078000,1368
2019/02/26 21:00:00+00,,0.979000,0.608000,1.046000,,1.627000,1369
2019/02/26 22:00:00+00,,0.978000,0.650000,0.965000,,1.711000,1370
2019/02/26 23:00:00+00,,1.088000,0.769000,1.020000,,2.385000,1371
2019/02/27 00:00:00+00,,1.297000,0.689000,0.823000,,1.755000,1372
2019/02/27 01:00:00+00,,1.273000,0.729000,0.559000,,1.292000,1373
2019/02/27 02:00:00+00,,0.960000,0.837000,0.539000,,1.107000,1374
2019/02/27 03:00:00+00,,0.815000,0.871000,0.501000,,1.006000,1375
2019/02/27 04:00:00+00,,0.934000,0.854000,0.620000,,0.880000,1376
2019/02/27 05:00:00+00,,0.863000,0.733000,0.601000,,0.806000,1377
2019/02/27 06:00:00+00,,0.766000,0.939000,0.721000,,0.985000,1378
2019/02/27 07:00:00+00,,0.784000,0.714000,0.964000,,0.667000,1379
2019/02/27 08:00:00+00,,0.927000,0.629000,1.069000,,1.037000,1380
2019/02/27 09:00:00+00,,0.982000,0.682000,1.090000,,1.402000,1381
2019/02/27 10:00:00+00,,0.587000,0.641000,1.144000,,0.828000,1382
2019/02/27 11:00:00+00,,0.497000,0.750000,0.790000,,0.702000,1383
2019/02/27 12:00:00+00,,0.454000,0.692000,0.753000,,0.778000,1384
2019/02/27 13:00:00+00,,0.454000,0.540000,0.796000,,0.668000,1385
2019/02/27 14:00:00+00,,0.423000,0.441000,0.677000,,0.578000,1386
2019/02/27 15:00:00+00,,0.301000,0.361000,0.688000,,0.523000,1387
2019/02/27 16:00:00+00,,0.232000,0.364000,0.668000,,0.671000,1388
2019/02/27 17:00:00+00,,0.296000,0.461000,0.909000,,0.927000,1389
2019/02/27 18:00:00+00,,0.617000,0.599000,0.879000,,1.836000,1390
2019/02/27 19:00:00+00,,0.655000,0.796000,0.759000,,1.817000,1391
2019/02/27 20:00:00+00,,0.571000,0.997000,0.768000,,1.719000,1392
2019/02/27 21:00:00+00,,1.076000,0.942000,1.099000,,1.432000,1393
2019/02/27 22:00:00+00,,1.415000,0.838000,1.551000,,1.151000,1394
2019/02/27 23:00:00+00,,1.743000,1.092000,1.551000,,1.321000,1395
2019/02/28 00:00:00+00,,1.916000,1.260000,1.324000,,1.198000,1396
2019/02/28 01:00:00+00,,1.855000,1.003000,1.179000,,0.683000,1397
2019/02/28 02:00:00+00,,1.654000,0.748000,1.209000,,0.470000,1398
2019/02/28 03:00:00+00,,1.033000,0.695000,1.177000,,0.310000,1399
2019/02/28 04:00:00+00,,0.816000,0.628000,1.185000,,0.256000,1400
2019/02/28 05:00:00+00,,0.979000,0.624000,1.346000,,0.317000,1401
2019/02/28 06:00:00+00,,0.660000,0.325000,1.083000,,0.368000,1402
2019/02/28 07:00:00+00,,0.296000,0.268000,0.838000,,0.487000,1403
2019/02/28 08:00:00+00,,0.228000,0.243000,0.936000,,0.728000,1404
2019/02/28 09:00:00+00,,,0.244000,0.768000,,0.716000,1405
2019/02/28 10:00:00+00,,,0.215000,0.530000,,0.422000,1406
2019/02/28 11:00:00+00,,,0.210000,0.490000,,0.393000,1407
2019/02/28 12:00:00+00,,,0.182000,0.478000,,0.411000,1408
2019/02/28 13:00:00+00,,,0.185000,0.367000,,0.337000,1409
2019/02/28 14:00:00+00,,,0.177000,0.414000,,0.372000,1410
2019/02/28 15:00:00+00,,,0.168000,0.390000,,0.343000,1411
2019/02/28 16:00:00+00,,,0.163000,0.444000,,0.337000,1412
2019/02/28 17:00:00+00,,,0.210000,0.535000,,0.559000,1413
2019/02/28 18:00:00+00,,,0.245000,0.498000,,0.576000,1414
2019/02/28 19:00:00+00,,,0.267000,0.660000,,0.649000,1415
2019/02/28 20:00:00+00,,,0.250000,0.444000,,0.501000,1416
2019/02/28 21:00:00+00,,,0.213000,0.434000,,0.364000,1417
2019/02/28 22:00:00+00,,,0.210000,0.387000,,0.345000,1418
2019/02/28 23:00:00+00,,,0.187000,0.361000,,0.337000,1419
2019/03/01 00:00:00+00,,,0.169000,0.305000,,0.238000,1420
2019/03/01 01:00:00+00,,,0.220000,0.271000,,0.203000,1421
2019/03/01 02:00:00+00,,0.213000,0.216000,0.208000,,0.177000,1422
2019/03/01 03:00:00+00,,0.228000,0.203000,0.170000,,0.157000,1423
2019/03/01 04:00:00+00,,0.278000,0.204000,0.237000,,0.169000,1424
2019/03/01 05:00:00+00,,0.242000,0.218000,0.326000,,0.200000,1425
2019/03/01 06:00:00+00,,0.230000,0.251000,0.377000,,0.273000,1426
2019/03/01 07:00:00+00,,0.264000,0.277000,0.422000,,0.462000,1427
2019/03/01 08:00:00+00,,0.280000,0.293000,0.582000,,0.627000,1428
2019/03/01 09:00:00+00,,0.271000,0.316000,0.570000,,0.659000,1429
2019/03/01 10:00:00+00,,0.264000,0.300000,0.446000,,0.424000,1430
2019/03/01 11:00:00+00,,0.251000,0.315000,0.456000,,0.420000,1431
2019/03/01 12:00:00+00,,0.240000,0.321000,0.361000,,0.412000,1432
2019/03/01 13:00:00+00,,0.249000,0.337000,0.354000,,0.405000,1433
2019/03/01 14:00:00+00,,0.269000,0.398000,0.515000,,0.495000,1434
2019/03/01 15:00:00+00,,0.292000,0.393000,0.542000,,0.433000,1435
2019/03/01 16:00:00+00,,0.303000,0.369000,0.695000,,0.561000,1436
2019/03/01 17:00:00+00,,0.315000,0.379000,0.779000,,0.778000,1437
2019/03/01 18:00:00+00,,0.289000,0.493000,0.743000,,0.888000,1438
2019/03/01 19:00:00+00,,0.290000,0.473000,0.912000,,0.795000,1439
2019/03/01 20:00:00+00,,0.312000,0.406000,0.770000,,0.701000,1440
2019/03/01 21:00:00+00,,0.290000,0.375000,0.745000,,0.521000,1441
2019/03/01 22:00:00+00,,0.262000,0.336000,0.621000,,0.446000,1442
2019/03/01 23:00:00+00,,0.286000,0.344000,0.619000,,0.492000,1443
2019/03/02 00:00:00+00,,0.267000,0.314000,0.383000,,0.387000,1444
2019/03/02 01:00:00+00,,0.246000,0.282000,0.319000,,0.290000,1445
2019/03/02 02:00:00+00,,0.273000,0.253000,0.295000,,0.232000,1446
2019/03/02 03:00:00+00,,0.231000,0.238000,0.272000,,0.204000,1447
2019/03/02 04:00:00+00,,0.268000,0.230000,0.270000,,0.176000,1448
2019/03/02 05:00:00+00,,0.267000,0.226000,0.309000,,0.186000,1449
2019/03/02 06:00:00+00,,0.311000,0.291000,0.374000,,0.197000,1450
2019/03/02 07:00:00+00,,0.255000,0.250000,0.328000,,0.222000,1451
2019/03/02 08:00:00+00,,0.266000,0.313000,0.354000,,0.276000,1452
2019/03/02 09:00:00+00,,0.271000,0.287000,0.407000,,0.384000,1453
2019/03/02 10:00:00+00,,0.305000,0.282000,0.503000,,0.431000,1454
2019/03/02 11:00:00+00,,0.272000,0.238000,0.508000,,0.367000,1455
2019/03/02 12:00:00+00,,0.257000,0.214000,0.505000,,0.381000,1456
2019/03/02 13:00:00+00,,0.206000,0.211000,0.459000,,0.492000,1457
2019/03/02 14:00:00+00,,0.191000,0.221000,0.512000,,0.447000,1458
2019/03/02 15:00:00+00,,0.217000,0.226000,0.427000,,0.492000,1459
2019/03/02 16:00:00+00,,0.219000,0.226000,0.510000,,0.495000,1460
2019/03/02 17:00:00+00,,0.206000,0.249000,0.535000,,0.480000,1461
2019/03/02 18:00:00+00,,0.256000,0.303000,0.435000,,0.529000,1462
2019/03/02 19:00:00+00,,0.324000,0.378000,0.531000,,0.536000,1463
2019/03/02 20:00:00+00,,0.370000,0.412000,0.483000,,0.451000,1464
2019/03/02 21:00:00+00,,0.278000,0.323000,0.532000,,0.368000,1465
2019/03/02 22:00:00+00,,0.232000,0.263000,0.479000,,0.336000,1466
2019/03/02 23:00:00+00,,0.213000,0.277000,0.478000,,0.325000,1467
2019/03/03 00:00:00+00,,0.204000,0.240000,0.402000,,0.296000,1468
2019/03/03 01:00:00+00,,0.183000,0.248000,0.286000,,0.183000,1469
2019/03/03 02:00:00+00,,0.251000,0.240000,0.295000,,0.191000,1470
2019/03/03 03:00:00+00,,0.260000,0.232000,0.254000,,0.147000,1471
2019/03/03 04:00:00+00,,0.249000,0.234000,0.293000,,0.142000,1472
2019/03/03 05:00:00+00,,0.236000,0.224000,0.277000,,0.141000,1473
2019/03/03 06:00:00+00,,0.224000,0.253000,0.360000,,0.147000,1474
2019/03/03 07:00:00+00,,0.210000,0.255000,0.286000,,0.147000,1475
2019/03/03 08:00:00+00,,,0.245000,0.297000,,0.166000,1476
2019/03/03 09:00:00+00,,,0.276000,0.318000,,0.207000,1477
2019/03/03 10:00:00+00,,,0.257000,0.371000,,0.204000,1478
2019/03/03 11:00:00+00,,,0.256000,0.405000,,0.247000,1479
